Sample Time,xECG,ivECG,Error,Error Description,User State,User CM Marker,xECG_filtered,ivECG_filtered
1.008,10.367760,-67.939008,NA,NA,,NA,,
1.012,10.401024,-67.562256,NA,NA,,NA,,
1.016,10.346928,-67.535184,NA,NA,,NA,,
1.02,10.303632,-67.925328,NA,NA,,NA,,
1.024,10.335936,-68.014464,NA,NA,,NA,,
1.028,10.372176,-67.673712,NA,NA,,NA,,
1.032,10.323696,-67.533072,NA,NA,,NA,,
1.036,10.271376,-67.861776,NA,NA,,NA,,
1.04,10.296720,-68.048544,NA,NA,,NA,,
1.044,10.327056,-67.742400,NA,NA,,NA,,
1.048,10.276512,-67.536720,NA,NA,,NA,,
1.052,10.243728,-67.802208,NA,NA,,NA,,
1.056,10.255632,-68.067168,NA,NA,,NA,,
1.06,10.295424,-67.820496,NA,NA,,NA,,
1.064,10.309968,-67.502160,NA,NA,,NA,,
1.068,10.284720,-67.697712,NA,NA,,NA,,
1.072,10.263408,-68.039280,NA,NA,,NA,,
1.076,10.304880,-67.865616,NA,NA,,NA,,
1.08,10.319376,-67.496880,NA,NA,,NA,,
1.084,10.274736,-67.608528,NA,NA,,NA,,
1.088,10.246608,-67.980000,NA,NA,,NA,,
1.092,10.293888,-67.883232,NA,NA,,NA,,
1.096,10.326192,-67.500336,NA,NA,,NA,,
1.1,10.307664,-67.524144,NA,NA,,NA,,
1.104,10.267920,-67.915968,NA,NA,,NA,,
1.108,10.305744,-67.904544,NA,NA,,NA,,
1.112,10.330800,-67.524816,NA,NA,,NA,,
1.116,10.323024,-67.436592,NA,NA,,NA,,
1.12,10.304304,-67.784016,NA,NA,,NA,,
1.124,10.342608,-67.863120,NA,NA,,NA,,
1.128,10.404336,-67.503888,NA,NA,,NA,,
1.132,10.409760,-67.301472,NA,NA,,NA,,
1.136,10.383024,-67.601712,NA,NA,,NA,,
1.14,10.413888,-67.788960,NA,NA,,NA,,
1.144,10.495296,-67.455312,NA,NA,,NA,,
1.148,10.529904,-67.129968,NA,NA,,NA,,
1.152,10.483824,-67.413504,NA,NA,,NA,0.250224,0.178276
1.156,10.499568,-67.681296,NA,NA,,NA,0.272794,0.197161
1.16,10.565808,-67.410048,NA,NA,,NA,0.287717,0.201579
1.164,10.615152,-67.023552,NA,NA,,NA,0.294363,0.195876
1.168,10.566912,-67.232880,NA,NA,,NA,0.292897,0.189746
1.172,10.560816,-67.594176,NA,NA,,NA,0.283777,0.179720
1.176,10.613184,-67.396512,NA,NA,,NA,0.267414,0.158336
1.18,10.622256,-67.011840,NA,NA,,NA,0.244138,0.126515
1.184,10.525152,-67.184256,NA,NA,,NA,0.214327,0.085962
1.188,10.455600,-67.632288,NA,NA,,NA,0.178632,0.036597
1.192,10.502496,-67.542528,NA,NA,,NA,0.138363,-0.014414
1.196,10.500864,-67.176096,NA,NA,,NA,0.095828,-0.059518
1.2,10.396656,-67.276752,NA,NA,,NA,0.054191,-0.103173
1.204,10.284912,-67.755312,NA,NA,,NA,0.016781,-0.148865
1.208,10.301040,-67.756560,NA,NA,,NA,-0.013901,-0.184988
1.212,10.310064,-67.396944,NA,NA,,NA,-0.037043,-0.202988
1.216,10.235184,-67.376496,NA,NA,,NA,-0.053691,-0.213726
1.22,10.162176,-67.784400,NA,NA,,NA,-0.066043,-0.227671
1.224,10.156176,-67.888848,NA,NA,,NA,-0.076301,-0.237649
1.228,10.170432,-67.565424,NA,NA,,NA,-0.085648,-0.237379
1.232,10.140720,-67.421136,NA,NA,,NA,-0.093908,-0.236787
1.236,10.061760,-67.790112,NA,NA,,NA,-0.100029,-0.243915
1.24,10.073904,-67.976640,NA,NA,,NA,-0.103045,-0.249656
1.244,10.135536,-67.666032,NA,NA,,NA,-0.103019,-0.243221
1.248,10.134432,-67.421376,NA,NA,,NA,-0.104203,-0.207329
1.252,10.068720,-67.726320,NA,NA,,NA,-0.102762,-0.199205
1.256,10.051920,-67.994544,NA,NA,,NA,-0.103179,-0.200713
1.26,10.070928,-67.762368,NA,NA,,NA,-0.105688,-0.205373
1.264,10.092240,-67.468224,NA,NA,,NA,-0.109022,-0.204247
1.268,10.063248,-67.666656,NA,NA,,NA,-0.111263,-0.195318
1.272,10.031280,-68.012736,NA,NA,,NA,-0.111073,-0.182105
1.276,10.066848,-67.852992,NA,NA,,NA,-0.108454,-0.166213
1.28,10.099776,-67.488048,NA,NA,,NA,-0.104708,-0.148140
1.284,10.058208,-67.623648,NA,NA,,NA,-0.101714,-0.133158
1.288,10.020384,-68.013360,NA,NA,,NA,-0.100955,-0.127098
1.292,10.043616,-67.935264,NA,NA,,NA,-0.102836,-0.127513
1.296,10.068816,-67.560192,NA,NA,,NA,-0.106617,-0.127477
1.3,10.025904,-67.602336,NA,NA,,NA,-0.110881,-0.125854
1.304,9.965712,-68.013120,NA,NA,,NA,-0.114225,-0.126031
1.308,10.023504,-67.998240,NA,NA,,NA,-0.115874,-0.126929
1.312,10.075248,-67.617648,NA,NA,,NA,-0.115908,-0.122142
1.316,10.006416,-67.592352,NA,NA,,NA,-0.114989,-0.108982
1.32,9.949776,-67.982736,NA,NA,,NA,-0.113772,-0.095853
1.324,9.991296,-68.068560,NA,NA,,NA,-0.112448,-0.095170
1.328,10.054944,-67.701024,NA,NA,,NA,-0.110855,-0.104611
1.332,10.008480,-67.553808,NA,NA,,NA,-0.109023,-0.105072
1.336,9.907632,-67.939008,NA,NA,,NA,-0.107455,-0.088703
1.34,9.936624,-68.132928,NA,NA,,NA,-0.106794,-0.075188
1.344,10.005936,-67.805952,NA,NA,,NA,-0.106409,-0.077524
1.348,10.002480,-67.530000,NA,NA,,NA,-0.107565,-0.090589
1.352,9.924528,-67.853136,NA,NA,,NA,-0.108913,-0.090226
1.356,9.920256,-68.156496,NA,NA,,NA,-0.110366,-0.080173
1.36,9.971328,-67.903728,NA,NA,,NA,-0.112252,-0.075529
